Address,Grades,School_ID,ALD_15,Grade_Cat,:created_at,:id,:updated_at,:version,Short_Name,Longitude,Latitude,the_geom,GeoNetwork,WARD_15,Phone,Network,COMMAREA,Governance,Zip
4647 W 47th St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400009,Edward M. Burke,ES,2015-12-02T17:40:19.962Z,row-pz3c.4283-n5zp,2015-12-02T17:40:19.962Z,rv-yh2u.dsuh-mrem,GLOBAL CITIZENSHIP,-87.740097,41.807579,POINT (-87.74009743613836 41.807578507967094),8,14,1(773)582-1100,Charter,GARFIELD RIDGE,Charter,60632
5410 S State St,"9, 10, 11, 12",400010,Patricia R. Dowell,HS,2015-12-02T17:40:19.962Z,row-b77d_qgv9.dt2k,2015-12-02T17:40:19.962Z,rv-6npg~jtsb.bmfw,ACE TECH HS,-87.625849,41.796122,POINT (-87.62584903706896 41.79612150995044),9,3,1(773)548-8705,Charter,WASHINGTON PARK,Charter,60609
3141 W Jackson Blvd,"K, 1, 2, 3, 4, 5, 6, 7, 8",400011,Jason C. Ervin,ES,2015-12-02T17:40:19.962Z,row-9icp_4yir-2t7k,2015-12-02T17:40:19.962Z,rv-gn5y_zixw-zzmu,LOCKE A,-87.705235,41.877248,POINT (-87.70523452625956 41.87724835299213),5,28,1(773)265-7232,Charter,EAST GARFIELD PARK,Charter,60612
6800 S Stewart Ave,"5, 6, 7, 8, 9, 10, 11, 12",400012,Roderick T. Sawyer,HS,2015-12-02T17:40:19.962Z,row-h9sd~ma7f.i2qr,2015-12-02T17:40:19.962Z,rv-rkfq~kyc4_f5wa,AMANDLA HS,-87.635472,41.770802,POINT (-87.63547156926643 41.770802254890796),11,6,1(773)535-7150,Charter,ENGLEWOOD,Charter,60621
3986 W Barry Ave,"9, 10, 11, 12",400013,Ariel E. Reboyras,HS,2015-12-02T17:40:19.962Z,row-esxr-9urc.f63y,2015-12-02T17:40:19.962Z,rv-hmbs.h543.zkez,ASPIRA - EARLY COLLEGE HS,-87.727096,41.937298,POINT (-87.72709565820865 41.93729828541329),4,30,1(773)252-0970 x137,Charter,AVONDALE,Charter,60618
3729 W Leland Ave,"6, 7, 8",400017,Rey Colon,ES,2015-12-02T17:40:19.962Z,row-7fkm.zra5-ka9d,2015-12-02T17:40:19.962Z,rv-rxbh~dswn-kh7s,ASPIRA - HAUGAN,-87.721825,41.966406,POINT (-87.72182466558088 41.966405668114774),1,35,1(773)252-0970,Charter,ALBANY PARK,Charter,60625
231 N Pine Ave,"9, 10, 11, 12",400018,Jason C. Ervin,HS,2015-12-02T17:40:19.962Z,row-v4bh_qh7n~bm74,2015-12-02T17:40:19.962Z,rv-f59c_ecip-vxxx,AUSTIN BUS & ENTRP HS,-87.761891,41.884205,POINT (-87.7618910168905 41.88420467213537),3,28,1(773)534-6316,Network 3,AUSTIN,District,60644
8 W Root St,"K, 1, 2, 3, 4, 5, 6, 7, 8",400019,Patricia R. Dowell,ES,2015-12-02T17:40:19.962Z,row-zcex_ahw9_f9sg,2015-12-02T17:40:19.962Z,rv-54jg-nng9.rtr9,BRONZEVILLE LIGHTHOUSE,-87.626622,41.819277,POINT (-87.62662180147294 41.81927661121183),9,3,1(773)535-1460,Charter,GRAND BOULEVARD,Charter,60609
5608 W Washington Blvd,"K, 1, 2, 3, 4, 5, 6, 7, 8",400021,Deborah L. Graham,ES,2015-12-02T17:40:19.962Z,row-tt7d_yxm9.z2qu,2015-12-02T17:40:19.962Z,rv-cz6g_yhth.axd2,CATALYST - CIRCLE ROCK,-87.765322,41.882322,POINT (-87.76532197834266 41.88232222150662),3,29,1(773)945-5025,Charter,AUSTIN,Charter,60644
2714 W Augusta Blvd,"9, 10, 11, 12",400022,Roberto Maldonado,HS,2015-12-02T17:40:19.962Z,row-f7bg-gsbc~rgfk,2015-12-02T17:40:19.962Z,rv-4f48-z7si.5nuf,CHICAGO ARTS HS,-87.694945,41.899377,POINT (-87.69494501132053 41.89937657364465),5,26,1(773)534-9710,Contract,WEST TOWN,Contract,60622
